event_id,timestamp,machine_id,plc_name,tag_name,tag_value,data_type,event_type,product_code,batch_id,shift,source_system
11,2026-01-30T08:00:01.521Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
12,2026-01-30T08:00:01.561Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
13,2026-01-30T08:00:01.692Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
14,2026-01-30T08:00:01.965Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
15,2026-01-30T08:00:02.087Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,43.48,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
16,2026-01-30T08:00:02.173Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,108.48,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
17,2026-01-30T08:00:02.371Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,142.22,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
18,2026-01-30T08:00:02.564Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,101.98,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
19,2026-01-30T08:00:02.772Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
20,2026-01-30T08:00:02.873Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
21,2026-01-30T08:00:03.040Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
22,2026-01-30T08:00:03.081Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
23,2026-01-30T08:00:03.195Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
24,2026-01-30T08:00:03.483Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
25,2026-01-30T08:00:03.610Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,41.64,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
26,2026-01-30T08:00:03.676Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,112.76,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
27,2026-01-30T08:00:03.894Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,142.96,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
28,2026-01-30T08:00:04.061Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,99.88,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
29,2026-01-30T08:00:04.291Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
30,2026-01-30T08:00:04.357Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
31,2026-01-30T08:00:04.563Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
32,2026-01-30T08:00:04.599Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
33,2026-01-30T08:00:04.690Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
34,2026-01-30T08:00:04.969Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
35,2026-01-30T08:00:05.085Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,46.21,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
36,2026-01-30T08:00:05.162Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,108.84,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
37,2026-01-30T08:00:05.319Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,140.15,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
38,2026-01-30T08:00:05.533Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,100.3,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
39,2026-01-30T08:00:05.717Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
40,2026-01-30T08:00:05.785Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
41,2026-01-30T08:00:05.956Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
42,2026-01-30T08:00:05.994Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
43,2026-01-30T08:00:06.109Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
44,2026-01-30T08:00:06.384Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
45,2026-01-30T08:00:06.532Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,44.3,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
46,2026-01-30T08:00:06.586Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,113.37,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
47,2026-01-30T08:00:06.797Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,142.91,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
48,2026-01-30T08:00:07.007Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,99.37,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
49,2026-01-30T08:00:07.216Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
50,2026-01-30T08:00:07.297Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
51,2026-01-30T08:00:07.471Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
52,2026-01-30T08:00:07.507Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
53,2026-01-30T08:00:07.612Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
54,2026-01-30T08:00:07.887Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
55,2026-01-30T08:00:08.068Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,44.71,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
56,2026-01-30T08:00:08.127Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,108.07,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
57,2026-01-30T08:00:08.333Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,141.63,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
58,2026-01-30T08:00:08.526Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,98.26,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
59,2026-01-30T08:00:08.759Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
60,2026-01-30T08:00:08.852Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
61,2026-01-30T08:00:09.018Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
62,2026-01-30T08:00:09.062Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
63,2026-01-30T08:00:09.164Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
64,2026-01-30T08:00:09.465Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
65,2026-01-30T08:00:09.625Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,46.13,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
66,2026-01-30T08:00:09.694Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,113.84,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
67,2026-01-30T08:00:09.884Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,138.73,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
68,2026-01-30T08:00:10.094Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,99.73,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
69,2026-01-30T08:00:10.352Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
70,2026-01-30T08:00:10.419Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
71,2026-01-30T08:00:10.616Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
72,2026-01-30T08:00:10.659Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
73,2026-01-30T08:00:10.773Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
74,2026-01-30T08:00:11.048Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
75,2026-01-30T08:00:11.192Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,40.41,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
76,2026-01-30T08:00:11.279Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,117.06,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
77,2026-01-30T08:00:11.457Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,139.84,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
78,2026-01-30T08:00:11.657Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,95.85,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
79,2026-01-30T08:00:11.889Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
80,2026-01-30T08:00:11.975Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
81,2026-01-30T08:00:12.162Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
82,2026-01-30T08:00:12.196Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
83,2026-01-30T08:00:12.312Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
84,2026-01-30T08:00:12.598Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
85,2026-01-30T08:00:12.757Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,42.74,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
86,2026-01-30T08:00:12.802Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,112.78,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
87,2026-01-30T08:00:13.041Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,141.2,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
88,2026-01-30T08:00:13.231Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,100.84,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
89,2026-01-30T08:00:13.433Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
90,2026-01-30T08:00:13.556Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
91,2026-01-30T08:00:13.721Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
92,2026-01-30T08:00:14.068Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
93,2026-01-30T08:00:15.120Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
94,2026-01-30T08:00:17.637Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
95,2026-01-30T08:00:19.030Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,42.47,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
96,2026-01-30T08:00:19.592Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,107.57,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
97,2026-01-30T08:00:21.399Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,142.73,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
98,2026-01-30T08:00:23.215Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,3.64,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
99,2026-01-30T08:00:25.160Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
100,2026-01-30T08:00:26.008Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
101,2026-01-30T08:00:27.673Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
102,2026-01-30T08:00:27.715Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
103,2026-01-30T08:00:27.815Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
104,2026-01-30T08:00:28.118Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
105,2026-01-30T08:00:28.247Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,47.99,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
106,2026-01-30T08:00:28.320Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,113.4,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
107,2026-01-30T08:00:28.505Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,141.37,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
108,2026-01-30T08:00:28.707Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,101.07,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
109,2026-01-30T08:00:28.906Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
110,2026-01-30T08:00:29.019Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
111,2026-01-30T08:00:29.181Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
112,2026-01-30T08:00:29.217Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
113,2026-01-30T08:00:29.322Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
114,2026-01-30T08:00:29.572Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
115,2026-01-30T08:00:29.729Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,49.07,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
116,2026-01-30T08:00:29.794Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,110.09,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
117,2026-01-30T08:00:29.958Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,142.92,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
118,2026-01-30T08:00:30.193Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,102.46,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
119,2026-01-30T08:00:30.395Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
120,2026-01-30T08:00:30.474Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
121,2026-01-30T08:00:30.635Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
122,2026-01-30T08:00:30.670Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
123,2026-01-30T08:00:30.796Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
124,2026-01-30T08:00:31.081Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
125,2026-01-30T08:00:31.223Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,48.05,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
126,2026-01-30T08:00:31.270Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,116.82,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
127,2026-01-30T08:00:31.467Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,143.29,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
128,2026-01-30T08:00:31.680Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,101.39,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
129,2026-01-30T08:00:31.878Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
130,2026-01-30T08:00:31.989Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
131,2026-01-30T08:00:32.150Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
132,2026-01-30T08:00:32.185Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
133,2026-01-30T08:00:32.306Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
134,2026-01-30T08:00:32.582Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
135,2026-01-30T08:00:32.738Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,46.02,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
136,2026-01-30T08:00:32.819Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,112.54,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
137,2026-01-30T08:00:33.011Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,142.57,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
138,2026-01-30T08:00:33.221Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,100.64,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
139,2026-01-30T08:00:33.425Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
