cycle_index,cycle_start_time,cycle_end_time,cycle_ms,product_code,batch_id,shift,fault_mode,is_long_gap,is_abnormal_cycle
32,2026-01-30T08:01:00.948Z,2026-01-30T08:01:05.329Z,4381,FG-A,BATCH-1000,DAY,jam_recovery,0,1
33,2026-01-30T08:01:05.329Z,2026-01-30T08:01:06.800Z,1471,FG-A,BATCH-1000,DAY,normal,0,0
34,2026-01-30T08:01:06.800Z,2026-01-30T08:01:08.394Z,1594,FG-A,BATCH-1000,DAY,normal,0,0
35,2026-01-30T08:01:08.394Z,2026-01-30T08:01:10.154Z,1760,FG-A,BATCH-1000,DAY,normal,0,0
36,2026-01-30T08:01:10.154Z,2026-01-30T08:01:11.640Z,1486,FG-A,BATCH-1000,DAY,normal,0,0
37,2026-01-30T08:01:11.640Z,2026-01-30T08:01:13.101Z,1461,FG-A,BATCH-1000,DAY,normal,0,0
38,2026-01-30T08:01:13.101Z,2026-01-30T08:01:14.634Z,1533,FG-A,BATCH-1000,DAY,normal,0,0
39,2026-01-30T08:01:14.634Z,2026-01-30T08:01:16.245Z,1611,FG-A,BATCH-1000,DAY,normal,0,0
40,2026-01-30T08:01:16.245Z,2026-01-30T08:01:17.610Z,1365,FG-A,BATCH-1000,DAY,normal,0,0
41,2026-01-30T08:01:17.610Z,2026-01-30T08:01:19.047Z,1437,FG-A,BATCH-1000,DAY,normal,0,0
42,2026-01-30T08:01:19.047Z,2026-01-30T08:01:20.701Z,1654,FG-A,BATCH-1000,DAY,normal,0,0
43,2026-01-30T08:01:20.701Z,2026-01-30T08:01:22.041Z,1340,FG-A,BATCH-1000,DAY,fast_cycle,0,0
44,2026-01-30T08:01:22.041Z,2026-01-30T08:01:23.464Z,1423,FG-A,BATCH-1000,DAY,normal,0,0
45,2026-01-30T08:01:23.464Z,2026-01-30T08:01:24.884Z,1420,FG-A,BATCH-1000,DAY,normal,0,0
46,2026-01-30T08:01:24.884Z,2026-01-30T08:01:26.192Z,1308,FG-A,BATCH-1000,DAY,normal,0,0
47,2026-01-30T08:01:26.192Z,2026-01-30T08:01:27.947Z,1755,FG-A,BATCH-1000,DAY,normal,0,0
48,2026-01-30T08:01:27.947Z,2026-01-30T08:01:29.497Z,1550,FG-A,BATCH-1000,DAY,normal,0,0
49,2026-01-30T08:01:29.497Z,2026-01-30T08:01:31.027Z,1530,FG-A,BATCH-1000,DAY,normal,0,0
50,2026-01-30T08:01:31.027Z,2026-01-30T08:01:32.495Z,1468,FG-A,BATCH-1000,DAY,normal,0,0
51,2026-01-30T08:01:32.495Z,2026-01-30T08:01:34.019Z,1524,FG-A,BATCH-1000,DAY,normal,0,0
52,2026-01-30T08:01:34.019Z,2026-01-30T08:01:35.465Z,1446,FG-A,BATCH-1000,DAY,normal,0,0
53,2026-01-30T08:01:35.465Z,2026-01-30T08:01:37.048Z,1583,FG-A,BATCH-1000,DAY,normal,0,0
54,2026-01-30T08:01:37.048Z,2026-01-30T08:01:38.580Z,1532,FG-A,BATCH-1000,DAY,normal,0,0
55,2026-01-30T08:01:38.580Z,2026-01-30T08:01:40.233Z,1653,FG-A,BATCH-1000,DAY,normal,0,0
56,2026-01-30T08:01:40.233Z,2026-01-30T08:01:41.830Z,1597,FG-A,BATCH-1000,DAY,normal,0,0
57,2026-01-30T08:01:41.830Z,2026-01-30T08:01:43.314Z,1484,FG-A,BATCH-1000,DAY,normal,0,0
58,2026-01-30T08:01:43.314Z,2026-01-30T08:01:44.948Z,1634,FG-A,BATCH-1000,DAY,normal,0,0
59,2026-01-30T08:01:44.948Z,2026-01-30T08:01:46.622Z,1674,FG-A,BATCH-1000,DAY,normal,0,0
60,2026-01-30T08:01:46.622Z,2026-01-30T08:01:48.161Z,1539,FG-A,BATCH-1000,DAY,normal,0,0
61,2026-01-30T08:01:48.161Z,2026-01-30T08:01:51.518Z,3357,FG-A,BATCH-1000,DAY,slow_cycle,0,1
62,2026-01-30T08:01:51.518Z,2026-01-30T08:01:53.190Z,1672,FG-A,BATCH-1000,DAY,normal,0,0
63,2026-01-30T08:01:53.190Z,2026-01-30T08:01:54.280Z,1090,FG-A,BATCH-1000,DAY,fast_cycle,0,0
64,2026-01-30T08:01:54.280Z,2026-01-30T08:01:55.861Z,1581,FG-A,BATCH-1000,DAY,normal,0,0
65,2026-01-30T08:01:55.861Z,2026-01-30T08:01:57.391Z,1530,FG-A,BATCH-1000,DAY,normal,0,0
66,2026-01-30T08:01:57.391Z,2026-01-30T08:01:58.945Z,1554,FG-A,BATCH-1000,DAY,normal,0,0
67,2026-01-30T08:01:58.945Z,2026-01-30T08:02:00.327Z,1382,FG-A,BATCH-1000,DAY,normal,0,0
68,2026-01-30T08:02:00.327Z,2026-01-30T08:02:01.799Z,1472,FG-A,BATCH-1000,DAY,normal,0,0
69,2026-01-30T08:02:01.799Z,2026-01-30T08:02:03.320Z,1521,FG-A,BATCH-1000,DAY,normal,0,0
70,2026-01-30T08:02:03.320Z,2026-01-30T08:02:04.892Z,1572,FG-A,BATCH-1000,DAY,normal,0,0
71,2026-01-30T08:02:04.892Z,2026-01-30T08:02:06.551Z,1659,FG-A,BATCH-1000,DAY,normal,0,0
72,2026-01-30T08:02:06.551Z,2026-01-30T08:02:07.978Z,1427,FG-A,BATCH-1000,DAY,normal,0,0
73,2026-01-30T08:02:07.978Z,2026-01-30T08:02:09.809Z,1831,FG-A,BATCH-1000,DAY,normal,0,0
74,2026-01-30T08:02:09.809Z,2026-01-30T08:02:11.305Z,1496,FG-A,BATCH-1000,DAY,normal,0,0
75,2026-01-30T08:02:11.305Z,2026-01-30T08:02:12.844Z,1539,FG-A,BATCH-1000,DAY,normal,0,0
76,2026-01-30T08:02:12.844Z,2026-01-30T08:02:14.330Z,1486,FG-A,BATCH-1000,DAY,normal,0,0
77,2026-01-30T08:02:14.330Z,2026-01-30T08:02:15.838Z,1508,FG-A,BATCH-1000,DAY,normal,0,0
78,2026-01-30T08:02:15.838Z,2026-01-30T08:02:17.336Z,1498,FG-A,BATCH-1000,DAY,normal,0,0
79,2026-01-30T08:02:17.336Z,2026-01-30T08:02:18.830Z,1494,FG-A,BATCH-1000,DAY,normal,0,0
80,2026-01-30T08:02:18.830Z,2026-01-30T08:02:20.438Z,1608,FG-A,BATCH-1000,DAY,normal,0,0
81,2026-01-30T08:02:20.438Z,2026-01-30T08:02:22.013Z,1575,FG-A,BATCH-1000,DAY,normal,0,0
82,2026-01-30T08:02:22.013Z,2026-01-30T08:02:23.708Z,1695,FG-A,BATCH-1000,DAY,normal,0,0
83,2026-01-30T08:02:23.708Z,2026-01-30T08:02:25.418Z,1710,FG-A,BATCH-1000,DAY,normal,0,0
84,2026-01-30T08:02:25.418Z,2026-01-30T08:02:27.001Z,1583,FG-A,BATCH-1000,DAY,normal,0,0
85,2026-01-30T08:02:27.001Z,2026-01-30T08:02:28.378Z,1377,FG-A,BATCH-1000,DAY,normal,0,0
86,2026-01-30T08:02:28.378Z,2026-01-30T08:02:29.833Z,1455,FG-A,BATCH-1000,DAY,normal,0,0
87,2026-01-30T08:02:29.833Z,2026-01-30T08:02:31.421Z,1588,FG-A,BATCH-1000,DAY,normal,0,0
88,2026-01-30T08:02:31.421Z,2026-01-30T08:02:32.840Z,1419,FG-A,BATCH-1000,DAY,normal,0,0
89,2026-01-30T08:02:32.840Z,2026-01-30T08:02:34.143Z,1303,FG-A,BATCH-1000,DAY,normal,0,0
90,2026-01-30T08:02:34.143Z,2026-01-30T08:02:35.588Z,1445,FG-A,BATCH-1000,DAY,normal,0,0
91,2026-01-30T08:02:35.588Z,2026-01-30T08:02:37.294Z,1706,FG-A,BATCH-1000,DAY,normal,0,0
92,2026-01-30T08:02:37.294Z,2026-01-30T08:02:38.746Z,1452,FG-A,BATCH-1000,DAY,normal,0,0
93,2026-01-30T08:02:38.746Z,2026-01-30T08:02:40.324Z,1578,FG-A,BATCH-1000,DAY,normal,0,0
94,2026-01-30T08:02:40.324Z,2026-01-30T08:02:41.962Z,1638,FG-A,BATCH-1000,DAY,normal,0,0
95,2026-01-30T08:02:41.962Z,2026-01-30T08:02:43.461Z,1499,FG-A,BATCH-1000,DAY,normal,0,0
96,2026-01-30T08:02:43.461Z,2026-01-30T08:02:45.351Z,1890,FG-A,BATCH-1000,DAY,normal,0,0
97,2026-01-30T08:02:45.351Z,2026-01-30T08:02:47.011Z,1660,FG-A,BATCH-1000,DAY,normal,0,0
98,2026-01-30T08:02:47.011Z,2026-01-30T08:02:48.723Z,1712,FG-A,BATCH-1000,DAY,normal,0,0
99,2026-01-30T08:02:48.723Z,2026-01-30T08:02:50.188Z,1465,FG-A,BATCH-1000,DAY,normal,0,0
100,2026-01-30T08:02:50.188Z,2026-01-30T08:02:51.513Z,1325,FG-A,BATCH-1000,DAY,fast_cycle,0,0
101,2026-01-30T08:02:51.513Z,2026-01-30T08:02:53.154Z,1641,FG-A,BATCH-1000,DAY,normal,0,0
102,2026-01-30T08:02:53.154Z,2026-01-30T08:02:54.686Z,1532,FG-A,BATCH-1000,DAY,normal,0,0
103,2026-01-30T08:02:54.686Z,2026-01-30T08:02:56.399Z,1713,FG-A,BATCH-1000,DAY,normal,0,0
104,2026-01-30T08:02:56.399Z,2026-01-30T08:02:58.247Z,1848,FG-A,BATCH-1000,DAY,normal,0,0
105,2026-01-30T08:02:58.247Z,2026-01-30T08:02:59.712Z,1465,FG-A,BATCH-1000,DAY,normal,0,0
106,2026-01-30T08:02:59.712Z,2026-01-30T08:03:01.305Z,1593,FG-A,BATCH-1000,DAY,normal,0,0
107,2026-01-30T08:03:01.305Z,2026-01-30T08:03:02.919Z,1614,FG-A,BATCH-1000,DAY,normal,0,0
108,2026-01-30T08:03:02.919Z,2026-01-30T08:03:04.036Z,1117,FG-A,BATCH-1000,DAY,fast_cycle,0,0
109,2026-01-30T08:03:04.036Z,2026-01-30T08:03:05.543Z,1507,FG-A,BATCH-1000,DAY,normal,0,0
110,2026-01-30T08:03:05.543Z,2026-01-30T08:03:07.125Z,1582,FG-A,BATCH-1000,DAY,normal,0,0
111,2026-01-30T08:03:07.125Z,2026-01-30T08:03:08.629Z,1504,FG-A,BATCH-1000,DAY,normal,0,0
112,2026-01-30T08:03:08.629Z,2026-01-30T08:03:10.228Z,1599,FG-A,BATCH-1000,DAY,normal,0,0
113,2026-01-30T08:03:10.228Z,2026-01-30T08:03:11.894Z,1666,FG-A,BATCH-1000,DAY,normal,0,0
114,2026-01-30T08:03:11.894Z,2026-01-30T08:03:13.589Z,1695,FG-A,BATCH-1000,DAY,normal,0,0
115,2026-01-30T08:03:13.589Z,2026-01-30T08:03:15.275Z,1686,FG-A,BATCH-1000,DAY,normal,0,0
116,2026-01-30T08:03:15.275Z,2026-01-30T08:03:16.752Z,1477,FG-A,BATCH-1000,DAY,normal,0,0
117,2026-01-30T08:03:16.752Z,2026-01-30T08:03:18.234Z,1482,FG-A,BATCH-1000,DAY,normal,0,0
118,2026-01-30T08:03:18.234Z,2026-01-30T08:03:19.842Z,1608,FG-A,BATCH-1000,DAY,normal,0,0
119,2026-01-30T08:03:19.842Z,2026-01-30T08:03:21.366Z,1524,FG-A,BATCH-1000,DAY,normal,0,0
120,2026-01-30T08:03:21.366Z,2026-01-30T08:03:22.803Z,1437,FG-A,BATCH-1000,DAY,normal,0,0
121,2026-01-30T08:03:22.803Z,2026-01-30T08:03:24.439Z,1636,FG-A,BATCH-1000,DAY,normal,0,0
122,2026-01-30T08:03:24.439Z,2026-01-30T08:03:25.989Z,1550,FG-A,BATCH-1000,DAY,normal,0,0
123,2026-01-30T08:03:25.989Z,2026-01-30T08:03:27.502Z,1513,FG-A,BATCH-1000,DAY,normal,0,0
124,2026-01-30T08:03:27.502Z,2026-01-30T08:03:29.089Z,1587,FG-A,BATCH-1000,DAY,normal,0,0
125,2026-01-30T08:03:29.089Z,2026-01-30T08:03:30.638Z,1549,FG-A,BATCH-1000,DAY,normal,0,0
126,2026-01-30T08:03:30.638Z,2026-01-30T08:03:32.367Z,1729,FG-A,BATCH-1000,DAY,normal,0,0
127,2026-01-30T08:03:32.367Z,2026-01-30T08:03:33.838Z,1471,FG-A,BATCH-1000,DAY,normal,0,0
128,2026-01-30T08:03:33.838Z,2026-01-30T08:03:35.487Z,1649,FG-A,BATCH-1000,DAY,normal,0,0
129,2026-01-30T08:03:35.487Z,2026-01-30T08:03:37.188Z,1701,FG-A,BATCH-1000,DAY,normal,0,0
130,2026-01-30T08:03:37.188Z,2026-01-30T08:03:51.267Z,14079,FG-A,BATCH-1000,DAY,long_gap,1,1
131,2026-01-30T08:03:51.267Z,2026-01-30T08:03:52.807Z,1540,FG-A,BATCH-1000,DAY,normal,0,0
132,2026-01-30T08:03:52.807Z,2026-01-30T08:03:54.242Z,1435,FG-A,BATCH-1000,DAY,normal,0,0
133,2026-01-30T08:03:54.242Z,2026-01-30T08:03:55.601Z,1359,FG-A,BATCH-1000,DAY,normal,0,0
134,2026-01-30T08:03:55.601Z,2026-01-30T08:03:57.247Z,1646,FG-A,BATCH-1000,DAY,normal,0,0
135,2026-01-30T08:03:57.247Z,2026-01-30T08:03:58.874Z,1627,FG-A,BATCH-1000,DAY,normal,0,0
136,2026-01-30T08:03:58.874Z,2026-01-30T08:04:00.413Z,1539,FG-A,BATCH-1000,DAY,normal,0,0
137,2026-01-30T08:04:00.413Z,2026-01-30T08:04:01.902Z,1489,FG-A,BATCH-1000,DAY,normal,0,0
138,2026-01-30T08:04:01.902Z,2026-01-30T08:04:03.248Z,1346,FG-A,BATCH-1000,DAY,normal,0,0
139,2026-01-30T08:04:03.248Z,2026-01-30T08:04:04.815Z,1567,FG-A,BATCH-1000,DAY,normal,0,0
140,2026-01-30T08:04:04.815Z,2026-01-30T08:04:18.285Z,13470,FG-A,BATCH-1000,DAY,long_gap,1,1
141,2026-01-30T08:04:18.285Z,2026-01-30T08:04:19.873Z,1588,FG-A,BATCH-1000,DAY,normal,0,0
142,2026-01-30T08:04:19.873Z,2026-01-30T08:04:21.414Z,1541,FG-A,BATCH-1000,DAY,normal,0,0
143,2026-01-30T08:04:21.414Z,2026-01-30T08:04:23.122Z,1708,FG-A,BATCH-1000,DAY,normal,0,0
144,2026-01-30T08:04:23.122Z,2026-01-30T08:04:24.712Z,1590,FG-A,BATCH-1000,DAY,normal,0,0
145,2026-01-30T08:04:24.712Z,2026-01-30T08:04:26.267Z,1555,FG-A,BATCH-1000,DAY,normal,0,0
146,2026-01-30T08:04:26.267Z,2026-01-30T08:04:27.647Z,1380,FG-A,BATCH-1000,DAY,normal,0,0
147,2026-01-30T08:04:27.647Z,2026-01-30T08:04:29.149Z,1502,FG-A,BATCH-1000,DAY,normal,0,0
148,2026-01-30T08:04:29.149Z,2026-01-30T08:04:30.759Z,1610,FG-A,BATCH-1000,DAY,normal,0,0
149,2026-01-30T08:04:30.759Z,2026-01-30T08:04:32.371Z,1612,FG-A,BATCH-1000,DAY,normal,0,0
150,2026-01-30T08:04:32.371Z,2026-01-30T08:04:34.055Z,1684,FG-A,BATCH-1000,DAY,normal,0,0
151,2026-01-30T08:04:34.055Z,2026-01-30T08:04:35.452Z,1397,FG-A,BATCH-1000,DAY,normal,0,0
152,2026-01-30T08:04:35.452Z,2026-01-30T08:04:37.138Z,1686,FG-A,BATCH-1000,DAY,normal,0,0
153,2026-01-30T08:04:37.138Z,2026-01-30T08:04:38.791Z,1653,FG-A,BATCH-1000,DAY,normal,0,0
154,2026-01-30T08:04:38.791Z,2026-01-30T08:04:40.305Z,1514,FG-A,BATCH-1000,DAY,normal,0,0
155,2026-01-30T08:04:40.305Z,2026-01-30T08:04:41.821Z,1516,FG-A,BATCH-1000,DAY,normal,0,0
156,2026-01-30T08:04:41.821Z,2026-01-30T08:04:43.546Z,1725,FG-A,BATCH-1000,DAY,normal,0,0
157,2026-01-30T08:04:43.546Z,2026-01-30T08:04:46.658Z,3112,FG-A,BATCH-1000,DAY,slow_cycle,0,1
158,2026-01-30T08:04:46.658Z,2026-01-30T08:04:48.104Z,1446,FG-A,BATCH-1000,DAY,normal,0,0
159,2026-01-30T08:04:48.104Z,2026-01-30T08:04:49.849Z,1745,FG-A,BATCH-1000,DAY,normal,0,0
160,2026-01-30T08:04:49.849Z,2026-01-30T08:04:51.431Z,1582,FG-A,BATCH-1000,DAY,normal,0,0
161,2026-01-30T08:04:51.431Z,2026-01-30T08:04:52.916Z,1485,FG-A,BATCH-1000,DAY,normal,0,0
162,2026-01-30T08:04:52.916Z,2026-01-30T08:04:54.601Z,1685,FG-A,BATCH-1000,DAY,normal,0,0
163,2026-01-30T08:04:54.601Z,2026-01-30T08:04:56.021Z,1420,FG-A,BATCH-1000,DAY,normal,0,0
164,2026-01-30T08:04:56.021Z,2026-01-30T08:04:57.497Z,1476,FG-A,BATCH-1000,DAY,normal,0,0
165,2026-01-30T08:04:57.497Z,2026-01-30T08:04:59.072Z,1575,FG-A,BATCH-1000,DAY,normal,0,0
166,2026-01-30T08:04:59.072Z,2026-01-30T08:05:00.689Z,1617,FG-A,BATCH-1000,DAY,normal,0,0
167,2026-01-30T08:05:00.689Z,2026-01-30T08:05:02.254Z,1565,FG-A,BATCH-1000,DAY,normal,0,0
168,2026-01-30T08:05:02.254Z,2026-01-30T08:05:03.885Z,1631,FG-A,BATCH-1000,DAY,normal,0,0
169,2026-01-30T08:05:03.885Z,2026-01-30T08:05:05.425Z,1540,FG-A,BATCH-1000,DAY,normal,0,0
170,2026-01-30T08:05:05.425Z,2026-01-30T08:05:07.098Z,1673,FG-A,BATCH-1000,DAY,normal,0,0
171,2026-01-30T08:05:07.098Z,2026-01-30T08:05:08.640Z,1542,FG-A,BATCH-1000,DAY,normal,0,0
172,2026-01-30T08:05:08.640Z,2026-01-30T08:05:10.254Z,1614,FG-A,BATCH-1000,DAY,normal,0,0
173,2026-01-30T08:05:10.254Z,2026-01-30T08:05:11.799Z,1545,FG-A,BATCH-1000,DAY,normal,0,0
174,2026-01-30T08:05:11.799Z,2026-01-30T08:05:13.434Z,1635,FG-A,BATCH-1000,DAY,normal,0,0
175,2026-01-30T08:05:13.434Z,2026-01-30T08:05:15.054Z,1620,FG-A,BATCH-1000,DAY,normal,0,0
176,2026-01-30T08:05:15.054Z,2026-01-30T08:05:16.521Z,1467,FG-A,BATCH-1000,DAY,normal,0,0
177,2026-01-30T08:05:16.521Z,2026-01-30T08:05:18.007Z,1486,FG-A,BATCH-1000,DAY,normal,0,0
178,2026-01-30T08:05:18.007Z,2026-01-30T08:05:32.904Z,14897,FG-A,BATCH-1000,DAY,long_gap,1,1
179,2026-01-30T08:05:32.904Z,2026-01-30T08:05:34.610Z,1706,FG-A,BATCH-1000,DAY,normal,0,0
180,2026-01-30T08:05:34.610Z,2026-01-30T08:05:36.137Z,1527,FG-A,BATCH-1000,DAY,normal,0,0
181,2026-01-30T08:05:36.137Z,2026-01-30T08:05:37.540Z,1403,FG-A,BATCH-1000,DAY,normal,0,0
182,2026-01-30T08:05:37.540Z,2026-01-30T08:05:39.224Z,1684,FG-A,BATCH-1000,DAY,normal,0,0
183,2026-01-30T08:05:39.224Z,2026-01-30T08:05:40.841Z,1617,FG-A,BATCH-1000,DAY,normal,0,0
184,2026-01-30T08:05:40.841Z,2026-01-30T08:05:42.486Z,1645,FG-A,BATCH-1000,DAY,normal,0,0
185,2026-01-30T08:05:42.486Z,2026-01-30T08:05:43.920Z,1434,FG-A,BATCH-1000,DAY,normal,0,0
186,2026-01-30T08:05:43.920Z,2026-01-30T08:05:45.397Z,1477,FG-A,BATCH-1000,DAY,normal,0,0
187,2026-01-30T08:05:45.397Z,2026-01-30T08:05:47.007Z,1610,FG-A,BATCH-1000,DAY,normal,0,0
188,2026-01-30T08:05:47.007Z,2026-01-30T08:05:48.367Z,1360,FG-A,BATCH-1000,DAY,normal,0,0
189,2026-01-30T08:05:48.367Z,2026-01-30T08:05:50.033Z,1666,FG-A,BATCH-1000,DAY,normal,0,0
190,2026-01-30T08:05:50.033Z,2026-01-30T08:05:51.531Z,1498,FG-A,BATCH-1000,DAY,normal,0,0
191,2026-01-30T08:05:51.531Z,2026-01-30T08:06:00.761Z,9230,FG-A,BATCH-1000,DAY,long_gap,1,1
192,2026-01-30T08:06:00.761Z,2026-01-30T08:06:02.206Z,1445,FG-A,BATCH-1000,DAY,normal,0,0
193,2026-01-30T08:06:02.206Z,2026-01-30T08:06:03.818Z,1612,FG-A,BATCH-1000,DAY,normal,0,0
194,2026-01-30T08:06:03.818Z,2026-01-30T08:06:05.315Z,1497,FG-A,BATCH-1000,DAY,normal,0,0
195,2026-01-30T08:06:05.315Z,2026-01-30T08:06:06.897Z,1582,FG-A,BATCH-1000,DAY,normal,0,0
196,2026-01-30T08:06:06.897Z,2026-01-30T08:06:08.472Z,1575,FG-A,BATCH-1000,DAY,normal,0,0
197,2026-01-30T08:06:08.472Z,2026-01-30T08:06:09.975Z,1503,FG-A,BATCH-1000,DAY,normal,0,0
198,2026-01-30T08:06:09.975Z,2026-01-30T08:06:11.476Z,1501,FG-A,BATCH-1000,DAY,normal,0,0
199,2026-01-30T08:06:11.476Z,2026-01-30T08:06:12.971Z,1495,FG-A,BATCH-1000,DAY,normal,0,0
200,2026-01-30T08:06:12.971Z,2026-01-30T08:06:14.499Z,1528,FG-A,BATCH-1000,DAY,normal,0,0
201,2026-01-30T08:06:14.499Z,2026-01-30T08:06:16.992Z,2493,FG-A,BATCH-1000,DAY,slow_cycle,0,1
202,2026-01-30T08:06:16.992Z,2026-01-30T08:06:18.369Z,1377,FG-A,BATCH-1000,DAY,normal,0,0
203,2026-01-30T08:06:18.369Z,2026-01-30T08:06:19.957Z,1588,FG-A,BATCH-1000,DAY,normal,0,0
204,2026-01-30T08:06:19.957Z,2026-01-30T08:06:21.474Z,1517,FG-A,BATCH-1000,DAY,normal,0,0
205,2026-01-30T08:06:21.474Z,2026-01-30T08:06:22.988Z,1514,FG-A,BATCH-1000,DAY,normal,0,0
206,2026-01-30T08:06:22.988Z,2026-01-30T08:06:36.362Z,13374,FG-A,BATCH-1000,DAY,long_gap,1,1
207,2026-01-30T08:06:36.362Z,2026-01-30T08:06:38.061Z,1699,FG-A,BATCH-1000,DAY,normal,0,0
208,2026-01-30T08:06:38.061Z,2026-01-30T08:06:39.700Z,1639,FG-A,BATCH-1000,DAY,normal,0,0
209,2026-01-30T08:06:39.700Z,2026-01-30T08:06:41.322Z,1622,FG-A,BATCH-1000,DAY,normal,0,0
210,2026-01-30T08:06:41.322Z,2026-01-30T08:06:42.852Z,1530,FG-A,BATCH-1000,DAY,normal,0,0
211,2026-01-30T08:06:42.852Z,2026-01-30T08:06:44.409Z,1557,FG-A,BATCH-1000,DAY,normal,0,0
212,2026-01-30T08:06:44.409Z,2026-01-30T08:06:45.805Z,1396,FG-A,BATCH-1000,DAY,normal,0,0
213,2026-01-30T08:06:45.805Z,2026-01-30T08:06:47.412Z,1607,FG-A,BATCH-1000,DAY,normal,0,0
214,2026-01-30T08:06:47.412Z,2026-01-30T08:06:48.781Z,1369,FG-A,BATCH-1000,DAY,normal,0,0
215,2026-01-30T08:06:48.781Z,2026-01-30T08:06:50.211Z,1430,FG-A,BATCH-1000,DAY,normal,0,0
216,2026-01-30T08:06:50.211Z,2026-01-30T08:06:51.750Z,1539,FG-A,BATCH-1000,DAY,normal,0,0
217,2026-01-30T08:06:51.750Z,2026-01-30T08:06:53.201Z,1451,FG-A,BATCH-1000,DAY,normal,0,0
218,2026-01-30T08:06:53.201Z,2026-01-30T08:06:54.888Z,1687,FG-A,BATCH-1000,DAY,normal,0,0
